waypoint,x,y
73,-220.939591,-185.808539
74,-221.124052,-185.778191
75,-235.103338,-192.231297
76,-289.802867,-196.001661
77,-289.792632,-194.998582
78,-130.023317,-183.985902
79,-17.933383,-175.257323
80,-289.782397,-193.995504
81,-289.772162,-192.992426
82,-10.992227,-173.776506
83,-11.060993,-172.778873
84,-289.761927,-191.989348
85,-289.751691,-190.986269
86,-284.406602,-190.617840
87,-284.249090,-190.683983
88,-284.083237,-190.724940
89,-283.913042,-190.739723
90,-283.742611,-190.727975
91,-283.576054,-190.689981
92,-283.417389,-190.626655
93,-283.270442,-190.539526
94,-11.129758,-171.781240
95,-11.198524,-170.783607
96,-171.237384,-181.814867
97,-171.395411,-181.895664
98,-171.564376,-181.949995
99,-171.739879,-181.976445
100,-171.917352,-181.974325
101,-172.092173,-181.943691
102,-172.259792,-181.885340
103,-178.140392,-182.290682
104,-178.297319,-182.393869
105,-178.469513,-182.468856
106,-178.651953,-182.513457
107,-178.839321,-182.526372
108,-179.026156,-182.507225
109,-179.207010,-182.456573
110,-179.376611,-182.375893
111,-185.065081,-182.767991
112,-185.213949,-182.887774
113,-185.381300,-182.979988
114,-185.562083,-183.041851
115,-185.750844,-183.071497
116,-185.941887,-183.068031
117,-186.129449,-183.031557
118,-186.307869,-182.963176
119,-186.471764,-182.864952
120,-192.004375,-183.246308
121,-192.142287,-183.378613
122,-192.301017,-183.485051
123,-192.475773,-183.562410
124,-192.661282,-183.608353
125,-192.851943,-183.621495
126,-193.042001,-183.601439
127,-193.225719,-183.548790
128,-193.397551,-183.465136
129,-193.552312,-183.353005
130,-198.954633,-183.725379
131,-199.080414,-183.867211
132,-199.228680,-183.985340
133,-199.395026,-184.076258
134,-199.574513,-184.137265
135,-199.761808,-184.166549
136,-199.951351,-184.163240
137,-200.137510,-184.127437
138,-200.314758,-184.060202
139,-200.477829,-183.963533
140,-200.621881,-183.840300
141,-205.913478,-184.205043
142,-206.026766,-184.354206
143,-206.163719,-184.481986
144,-206.320366,-184.584677
145,-206.492165,-184.659304
146,-206.674134,-184.703701
147,-206.860997,-184.716581
148,-207.047337,-184.697571
149,-207.227750,-184.647222
150,-207.397005,-184.566994
151,-207.550195,-184.459214
152,-207.682878,-184.327005
153,-212.879570,-184.685206
154,-212.980385,-184.839970
155,-213.105674,-184.975684
156,-213.251905,-185.088521
157,-213.414954,-185.175300
158,-213.590224,-185.233575
159,-213.772774,-185.261701
160,-213.957456,-185.258887
161,-214.139065,-185.225212
162,-214.312478,-185.161625
163,-214.472807,-185.069918
164,-214.615532,-184.952679
165,-214.736628,-184.813211
166,-219.851922,-185.165801
167,-219.940475,-185.324791
168,-220.054030,-185.467004
169,-220.189479,-185.588549
170,-220.343113,-185.686098
171,-220.510729,-185.756982
172,-220.687737,-185.799259
173,-220.869294,-185.811774
174,-221.050429,-185.794182
175,-221.226185,-185.746967
176,-221.391751,-185.671420
177,-221.542595,-185.569609
178,-221.674589,-185.444321
179,-221.784119,-185.298985
180,-226.829864,-185.646781
181,-226.906464,-185.808858
182,-227.008372,-185.956341
183,-227.132883,-186.085312
184,-227.276688,-186.192347
185,-227.435969,-186.274603
186,-227.606495,-186.329894
187,-227.783738,-186.356754
188,-227.962990,-186.354467
189,-228.139490,-186.323096
190,-228.308551,-186.263472
191,-228.465682,-186.177180
192,-228.606710,-186.066512
193,-228.727890,-185.934406
194,-228.826003,-185.784372
195,-233.812794,-186.128105
196,-233.883407,-186.303667
197,-233.983065,-186.464529
198,-234.108818,-186.605931
199,-234.256946,-186.723687
200,-234.423064,-186.814313
201,-234.602257,-186.875128
202,-234.789221,-186.904330
203,-234.978424,-186.901056
204,-235.164266,-186.865403
205,-235.341247,-186.798427
206,-235.504131,-186.702108
207,-235.648096,-186.579298
208,-235.768882,-186.433630
209,-235.862916,-186.269417
210,-240.800368,-186.609749
211,-240.858559,-186.786121
212,-240.945593,-186.950189
213,-241.058990,-187.097276
214,-241.195515,-187.223189
215,-241.351277,-187.324339
216,-241.521837,-187.397842
217,-241.702332,-187.441603
218,-241.887616,-187.454374
219,-242.072407,-187.435792
220,-242.251439,-187.386386
221,-242.419607,-187.307564
222,-242.572117,-187.201574
223,-242.704622,-187.071436
224,-242.813344,-186.920861
225,-242.895184,-186.754142
226,-247.792310,-187.091694
227,-247.838581,-187.268209
228,-247.913397,-187.434646
229,-248.014698,-187.586424
230,-248.139697,-187.719367
231,-248.284955,-187.829816
232,-248.446473,-187.914732
233,-248.619806,-187.971777
234,-248.800185,-187.999382
235,-248.982646,-187.996787
236,-249.162167,-187.964064
237,-249.333809,-187.902113
238,-249.492847,-187.812638
239,-249.634904,-187.698103
240,-249.756072,-187.561659
241,-249.853017,-187.407061
242,-249.923069,-187.238564
243,-254.788363,-187.573922
244,-254.826266,-187.760821
245,-254.895880,-187.938365
246,-254.995113,-188.101217
247,-255.120981,-188.244483
248,-255.269702,-188.363857
249,-255.436805,-188.455751
250,-255.617269,-188.517402
251,-255.805668,-188.546958
252,-255.996341,-188.543531
253,-256.183557,-188.507223
254,-256.361688,-188.439126
255,-256.525381,-188.341287
256,-256.669716,-188.216645
257,-256.790354,-188.068948
258,-256.883670,-187.902635
259,-256.946859,-187.722704
260,-261.788392,-188.056425
261,-261.814343,-188.241785
262,-261.871345,-188.420063
263,-261.957746,-188.586096
264,-262.071045,-188.735078
265,-262.207961,-188.862694
266,-262.364531,-188.965251
267,-262.536222,-189.039779
268,-262.718062,-189.084120
269,-262.904788,-189.096991
270,-263.090993,-189.078019
271,-263.271285,-189.027752
272,-263.440446,-188.947648
273,-263.593577,-188.840024
274,-263.726245,-188.707996
275,-263.834610,-188.555388
276,-263.915533,-188.386617
277,-263.966672,-188.206570
278,-268.792288,-188.539194
279,-268.806767,-188.722585
280,-268.851607,-188.900999
281,-268.925552,-189.069445
282,-269.026535,-189.223213
283,-269.151732,-189.358001
284,-269.297641,-189.470039
285,-269.460181,-189.556195
286,-269.634806,-189.614058
287,-269.816633,-189.642011
288,-270.000574,-189.639270
289,-270.181487,-189.605914
290,-270.354311,-189.542874
291,-270.514212,-189.451915
292,-270.656719,-189.335579
293,-270.777845,-189.197121
294,-270.874203,-189.040414
295,-270.943098,-188.869839
296,-270.982602,-188.690169
297,-275.799985,-189.022225
298,-275.804443,-189.213285
299,-275.841904,-189.400691
300,-275.911235,-189.578785
301,-276.010345,-189.742190
302,-276.136242,-189.885975
303,-276.285125,-190.005800
304,-276.452501,-190.098047
305,-276.633317,-190.159932
306,-276.822115,-190.189587
307,-277.013197,-190.186116
308,-277.200794,-190.149626
309,-277.379243,-190.081216
310,-277.543159,-189.982952
311,-277.687594,-189.857801
312,-277.808186,-189.709539
313,-277.901298,-189.542642
314,-277.964117,-189.362149
315,-277.994748,-189.173507
316,-282.811463,-189.505516
317,-282.849467,-189.324233
318,-282.917349,-189.151896
319,-283.013184,-188.993392
320,-283.134256,-188.853215
321,-283.277131,-188.735340
322,-283.437759,-188.643109
323,-283.611585,-188.579136
324,-283.793680,-188.545236
325,-283.978882,-188.542371
326,-284.161939,-188.570620
327,-284.337661,-188.629184
328,-284.501066,-188.716401
329,-284.647520,-188.829799
330,-284.772871,-188.966163
331,-284.873565,-189.121626
332,-284.946746,-189.291780
333,-284.990340,-189.471800
334,-285.003112,-189.656583
335,-289.741456,-189.983191
336,-289.731221,-188.980113
337,-277.435491,-188.132585
338,-277.288811,-188.064048
339,-277.133661,-188.017784
340,-276.973399,-187.994794
341,-276.811500,-187.995578
342,-276.651468,-188.020117
343,-276.496773,-188.067880
344,-270.542640,-187.657470
345,-270.391938,-187.564647
346,-270.228299,-187.497195
347,-270.055960,-187.456861
348,-269.879383,-187.444690
349,-269.703140,-187.460996
350,-269.531794,-187.505358
351,-269.369781,-187.576627
352,-263.623820,-187.180565
353,-263.478429,-187.069795
354,-263.316703,-186.984628
355,-263.143108,-186.927417
356,-262.962435,-186.899742
357,-262.779674,-186.902366
358,-262.599870,-186.935218
359,-262.427988,-186.997389
360,-262.268775,-187.087164
361,-256.688750,-186.702540
362,-256.552583,-186.578131
363,-256.397543,-186.478221
364,-256.227990,-186.405621
365,-256.048689,-186.362371
366,-255.864683,-186.349688
367,-255.681144,-186.367928
368,-255.503233,-186.416577
369,-255.335951,-186.494270
370,-255.184002,-186.598820
371,-249.741809,-186.223697
372,-249.616602,-186.088812
373,-249.470659,-185.976689
374,-249.308065,-185.890467
375,-249.133372,-185.832561
376,-248.951469,-185.804590
377,-248.767449,-185.807338
378,-248.586463,-185.840728
379,-248.413577,-185.903825
380,-248.253630,-185.994864
381,-248.111100,-186.111295
382,-242.785514,-185.744209
383,-242.671975,-185.601256
384,-242.536356,-185.479050
385,-242.382394,-185.380956
386,-242.214329,-185.309677
387,-242.036789,-185.267175
388,-241.854665,-185.254622
389,-241.672973,-185.272362
390,-241.496717,-185.319908
391,-241.330752,-185.395949
392,-241.179648,-185.498392
393,-241.047569,-185.624415
394,-235.821649,-185.264200
395,-235.719972,-185.114988
396,-235.595255,-184.984420
397,-235.450857,-184.876015
398,-235.290671,-184.792691
399,-235.119012,-184.736696
400,-234.940505,-184.709538
401,-234.759960,-184.711947
402,-234.582241,-184.743860
403,-234.412138,-184.804417
404,-234.254232,-184.891986
405,-234.112780,-185.004207
406,-233.991592,-185.138056
407,-228.851241,-184.783739
408,-228.761361,-184.629731
409,-228.647780,-184.492268
410,-228.513480,-184.374963
411,-228.361992,-184.280899
412,-228.197296,-184.212547
413,-228.023721,-184.171703
414,-227.845826,-184.159441
415,-227.668288,-184.176083
416,-227.495771,-184.221192
417,-227.332810,-184.293581
418,-227.183686,-184.391350
419,-227.052318,-184.511929
420,-226.942158,-184.652148
421,-221.875033,-184.302878
422,-221.789697,-184.133710
423,-221.676595,-183.981696
424,-221.539084,-183.851346
425,-221.381244,-183.746528
426,-221.207757,-183.670352
427,-221.023772,-183.625077
428,-220.834747,-183.612048
429,-220.646290,-183.631651
430,-220.463992,-183.683303
431,-220.293263,-183.765473
432,-220.139168,-183.875723
433,-220.006279,-184.010782
434,-219.898538,-184.166641
435,-214.893689,-183.821664
436,-214.821004,-183.650426
437,-214.720504,-183.493885
438,-214.595061,-183.356518
439,-214.448266,-183.242253
440,-214.284314,-183.154359
441,-214.107897,-183.095348
442,-213.924058,-183.066909
443,-213.738056,-183.069855
444,-213.555210,-183.104102
445,-213.380749,-183.168671
446,-213.219664,-183.261714
447,-213.076561,-183.380571
448,-212.955532,-183.521842
449,-212.860040,-183.681487
450,-207.907587,-183.340121
451,-207.847079,-183.167629
452,-207.758840,-183.007538
453,-207.645309,-182.864271
454,-207.509619,-182.741783
455,-207.355518,-182.643458
456,-207.187261,-182.572010
457,-207.009496,-182.529413
458,-206.827131,-182.516843
459,-206.645202,-182.534647
460,-206.468734,-182.582333
461,-206.302600,-182.658585
462,-206.151387,-182.761297
463,-206.019272,-182.887632
464,-205.909903,-183.034102
465,-205.826300,-183.196661
466,-200.917047,-182.858273
467,-200.868272,-182.685218
468,-200.791958,-182.522421
469,-200.690142,-182.374231
470,-200.565545,-182.244606
471,-200.421496,-182.137010
472,-200.261844,-182.054318
473,-200.090853,-181.998739
474,-199.913092,-181.971757
475,-199.733311,-181.974094
476,-199.556311,-182.005687
477,-199.386823,-182.065692
478,-199.229374,-182.152505
479,-199.088170,-182.263809
480,-198.966985,-182.396628
481,-198.869055,-182.547415
482,-198.796997,-182.712141
483,-193.922298,-182.376135
484,-193.881576,-182.192551
485,-193.810181,-182.018586
486,-193.710198,-181.859323
487,-193.584550,-181.719417
488,-193.436908,-181.602956
489,-193.271587,-181.513344
490,-193.093419,-181.453200
491,-192.907611,-181.424281
492,-192.719591,-181.427432
493,-192.534856,-181.462562
494,-192.358804,-181.528644
495,-192.196579,-181.623746
496,-192.052923,-181.745089
497,-191.932034,-181.889128
498,-191.837445,-182.051652
499,-191.771920,-182.227912
500,-186.923545,-181.893720
501,-186.894633,-181.711306
502,-186.835610,-181.536301
503,-186.748138,-181.373637
504,-186.634685,-181.227901
505,-186.498448,-181.103201
506,-186.343268,-181.003052
507,-186.173519,-180.930277
508,-185.993988,-180.886929
509,-185.809734,-180.874228
510,-185.625953,-180.892534
511,-185.447824,-180.941330
512,-185.280371,-181.019240
513,-185.128313,-181.124069
514,-184.995937,-181.252860
515,-184.886974,-181.401984
516,-184.804497,-181.567236
517,-184.750831,-181.743958
518,-179.920894,-181.411037
519,-179.903349,-181.230239
520,-179.856289,-181.054794
521,-179.780998,-180.889486
522,-179.679528,-180.738822
523,-179.554648,-180.606911
524,-179.409761,-180.497351
525,-179.248820,-180.413128
526,-179.076212,-180.356539
527,-178.896645,-180.329128
528,-178.715016,-180.331643
529,-178.536276,-180.364013
530,-178.365301,-180.425357
531,-178.206753,-180.514003
532,-178.064954,-180.627532
533,-177.943772,-180.762848
534,-177.846512,-180.916263
535,-177.775825,-181.083592
536,-177.733639,-181.260272
537,-172.914428,-180.928091
538,-172.906628,-180.739459
539,-172.866689,-180.554938
540,-172.795785,-180.379965
541,-172.696005,-180.219694
542,-172.570289,-180.078845
543,-172.422340,-179.961567
544,-172.256516,-179.871316
545,-172.077701,-179.810750
546,-171.891163,-179.781652
547,-171.702398,-179.784881
548,-171.516964,-179.820340
549,-171.340325,-179.886986
550,-171.177684,-179.982854
551,-171.033832,-180.105122
552,-170.913006,-180.250188
553,-170.818765,-180.413778
554,-170.753886,-180.591073
555,-170.720279,-180.776851
556,-165.904177,-180.444884
557,-165.869008,-180.629103
558,-165.803056,-180.804670
559,-165.708239,-180.966482
560,-165.587311,-181.109834
561,-165.443789,-181.230561
562,-165.281844,-181.325152
563,-165.106185,-181.390858
564,-164.921917,-181.425768
565,-164.734397,-181.428868
566,-164.549075,-181.400069
567,-164.371340,-181.340206
568,-164.206357,-181.251020
569,-164.058922,-181.135104
570,-163.933322,-180.995827
571,-163.833207,-180.837238
572,-163.761487,-180.663947
573,-163.720248,-180.480992
574,-163.710688,-180.293690
575,-158.890137,-179.961416
576,-158.843075,-180.146494
577,-158.764713,-180.320645
578,-158.657411,-180.478617
579,-158.524405,-180.615652
580,-158.369703,-180.727617
581,-158.197967,-180.811139
582,-158.014374,-180.863700
583,-157.824458,-180.883716
584,-157.633941,-180.870584
585,-157.448567,-180.824700
586,-157.273922,-180.747446
587,-157.115270,-180.641151
588,-156.977393,-180.509018
589,-156.864447,-180.355031
590,-156.779835,-180.183830
591,-156.726108,-180.000575
592,-156.704885,-179.810789
593,-151.872266,-179.477683
594,-151.817270,-179.652584
595,-151.733986,-179.815921
596,-151.624730,-179.963156
597,-151.492536,-180.090199
598,-151.341077,-180.193520
599,-151.174561,-180.270249
600,-150.997613,-180.318254
601,-150.815149,-180.336203
602,-150.632239,-180.323595
603,-150.453964,-180.280781
604,-150.285276,-180.208952
605,-150.130862,-180.110101
606,-149.995012,-179.986977
607,-149.881499,-179.842998
608,-149.793478,-179.682165
609,-149.733393,-179.508946
610,-149.702913,-179.328153
611,-144.850508,-178.993683
612,-144.783770,-179.167954
613,-144.688534,-179.328435
614,-144.567542,-179.470509
615,-144.424275,-179.590087
616,-144.262857,-179.683726
617,-144.087933,-179.748732
618,-143.904538,-179.783235
619,-143.717949,-179.786240
620,-143.533538,-179.757662
621,-143.356611,-179.698323
622,-143.192261,-179.609931
623,-143.045217,-179.495030
624,-142.919712,-179.356926
625,-142.819357,-179.199595
626,-142.747041,-179.027565
627,-142.704845,-178.845785
628,-137.824679,-178.509402
629,-137.745773,-178.682451
630,-137.638239,-178.839321
631,-137.505291,-178.975324
632,-137.350904,-179.086393
633,-137.179692,-179.169208
634,-136.996775,-179.221295
635,-136.807619,-179.241095
636,-136.617881,-179.228016
637,-136.433231,-179.182450
638,-136.259189,-179.105759
639,-136.100960,-179.000236
640,-135.963272,-178.869034
641,-135.850242,-178.716077
642,-135.765248,-178.545936
643,-135.710832,-178.363698
644,-130.794614,-178.024829
645,-130.710104,-178.185118
646,-130.600426,-178.329357
647,-130.468556,-178.453634
648,-130.318072,-178.554575
649,-130.153059,-178.629442
650,-129.977994,-178.676203
651,-129.797628,-178.693589
652,-129.616854,-178.681129
653,-129.440579,-178.639160
654,-129.273586,-178.568821
655,-129.120405,-178.472022
656,-128.985195,-178.351388
657,-128.871624,-178.210193
658,-128.782773,-178.052270
659,-128.721054,-177.881902
660,-123.760112,-177.539951
661,-123.663888,-177.697127
662,-123.542775,-177.836032
663,-123.400171,-177.952768
664,-123.240079,-178.044059
665,-123.066994,-178.107341
666,-122.885773,-178.140839
667,-122.701502,-178.143612
668,-122.519355,-178.115582
669,-122.344444,-178.057537
670,-122.181678,-177.971105
671,-122.035626,-177.858712
672,-121.910388,-177.723514
673,-121.809478,-177.569305
674,-121.735730,-177.400413
675,-116.720743,-177.054737
676,-116.612478,-177.207884
677,-116.479769,-177.340413
678,-116.326476,-177.448472
679,-116.157053,-177.528918
680,-115.976427,-177.579413
681,-115.789849,-177.598489
682,-115.602741,-177.585592
683,-115.420544,-177.541096
684,-115.248555,-177.466296
685,-115.091772,-177.363365
686,-114.954755,-177.235296
687,-114.841485,-177.085812
688,-114.755256,-176.919258
689,-109.676100,-176.569159
690,-109.555491,-176.717214
691,-109.411093,-176.842178
692,-109.247259,-176.940286
693,-109.068926,-177.008581
694,-108.881469,-177.045005
695,-108.690537,-177.048459
696,-108.501885,-177.018841
697,-108.321198,-176.957041
698,-108.153922,-176.864924
699,-108.005098,-176.745265
700,-107.879212,-176.601670
701,-107.780057,-176.438467
702,-102.625579,-176.083176
703,-102.504417,-176.213968
704,-102.363718,-176.323468
705,-102.207177,-176.408800
706,-102.038907,-176.467723
707,-101.863329,-176.498689
708,-101.685054,-176.500883
709,-101.508767,-176.474249
710,-101.339097,-176.419486
711,-101.180504,-176.338033
712,-101.037151,-176.232030
713,-100.912806,-176.104260
714,-100.810736,-175.958082
715,-95.568433,-175.596737
716,-95.436769,-175.719424
717,-95.286862,-175.819001
718,-95.122725,-175.892802
719,-94.948750,-175.938851
720,-94.769596,-175.955917
721,-94.590056,-175.943541
722,-94.414937,-175.902056
723,-94.248926,-175.832572
724,-94.096467,-175.736949
725,-93.961640,-175.617746
726,-93.848055,-175.478154
727,-88.503321,-175.109748
728,-88.361736,-175.222465
729,-88.203586,-175.310441
730,-88.033152,-175.371296
731,-87.855046,-175.403382
732,-87.674090,-175.405831
733,-87.495181,-175.378577
734,-87.323162,-175.322357
735,-87.162689,-175.238693
736,-87.018105,-175.129850
737,-86.893325,-174.998774
738,-81.428554,-174.622094
739,-81.278284,-174.722527
740,-81.113596,-174.796997
741,-80.938936,-174.843493
742,-80.759020,-174.860759
743,-80.578705,-174.848331
744,-80.402860,-174.806542
745,-80.236231,-174.736522
746,-80.083319,-174.640160
747,-79.948250,-174.520059
748,-74.341444,-174.133590
749,-74.184965,-174.218821
750,-74.016779,-174.277671
751,-73.841297,-174.308594
752,-73.663125,-174.310779
753,-73.486938,-174.284168
754,-73.317359,-174.229461
755,-73.158837,-174.148092
756,-73.015533,-174.042196
757,-67.236670,-173.643867
758,-67.079153,-173.710017
759,-66.913293,-173.750978
760,-66.743090,-173.765763
761,-66.572651,-173.754014
762,-66.406087,-173.716017
763,-66.247416,-173.652686
764,-66.100464,-173.565550
765,-11.267289,-169.785974
766,-11.336055,-168.788341
767,-16.642834,-169.154130
768,-16.713446,-169.329696
769,-16.813103,-169.490561
770,-16.938857,-169.631965
771,-17.086985,-169.749723
772,-17.253105,-169.840351
773,-17.432299,-169.901167
774,-17.619265,-169.930369
775,-17.808470,-169.927096
776,-17.994314,-169.891442
777,-18.171297,-169.824464
778,-18.334182,-169.728143
779,-18.478148,-169.605330
780,-18.598934,-169.459660
781,-18.692966,-169.295443
782,-23.630409,-169.635774
783,-23.688599,-169.812149
784,-23.775632,-169.976219
785,-23.889028,-170.123309
786,-24.025554,-170.249224
787,-24.181318,-170.350376
788,-24.351879,-170.423881
789,-24.532375,-170.467642
790,-24.717661,-170.480414
791,-24.902455,-170.461831
792,-25.081488,-170.412424
793,-25.249657,-170.333600
794,-25.402168,-170.227608
795,-25.534673,-170.097468
796,-25.643395,-169.946890
797,-25.725234,-169.780168
798,-30.622352,-170.117719
799,-30.668621,-170.294237
800,-30.743436,-170.460676
801,-30.844737,-170.612457
802,-30.969736,-170.745402
803,-31.114995,-170.855853
804,-31.276514,-170.940770
805,-31.449849,-170.997816
806,-31.630230,-171.025422
807,-31.812692,-171.022827
808,-31.992215,-170.990103
809,-32.163858,-170.928150
810,-32.322897,-170.838674
811,-32.464955,-170.724137
812,-32.586123,-170.587690
813,-32.683067,-170.433090
814,-32.753118,-170.264590
815,-37.618405,-170.599948
816,-37.656307,-170.786849
817,-37.725920,-170.964395
818,-37.825152,-171.127250
819,-37.951020,-171.270518
820,-38.099742,-171.389894
821,-38.266846,-171.481789
822,-38.447311,-171.543441
823,-38.635713,-171.572998
824,-38.826387,-171.569570
825,-39.013605,-171.533262
826,-39.191737,-171.465164
827,-39.355431,-171.367322
828,-39.499766,-171.242679
829,-39.620404,-171.094979
830,-39.713719,-170.928664
831,-39.776906,-170.748730
832,-44.618435,-171.082450
833,-44.644385,-171.267813
834,-44.701385,-171.446093
835,-44.787785,-171.612128
836,-44.901084,-171.761112
837,-45.038001,-171.888730
838,-45.194572,-171.991289
839,-45.366264,-172.065818
840,-45.548106,-172.110160
841,-45.734833,-172.123031
842,-45.921039,-172.104058
843,-46.101333,-172.053791
844,-46.270495,-171.973685
845,-46.423627,-171.866059
846,-46.556296,-171.734029
847,-46.664660,-171.581419
848,-46.745582,-171.412646
849,-46.796719,-171.232596
850,-51.622332,-171.565219
851,-51.636810,-171.748613
852,-51.681647,-171.927028
853,-51.755592,-172.095477
854,-51.856575,-172.249246
855,-51.981772,-172.384036
856,-52.127682,-172.496076
857,-52.290223,-172.582233
858,-52.464849,-172.640098
859,-52.646677,-172.668050
860,-52.830620,-172.665310
861,-53.011534,-172.631952
862,-53.184360,-172.568912
863,-53.344262,-172.477951
864,-53.486769,-172.361613
865,-53.607895,-172.223153
866,-53.704252,-172.066444
867,-53.773146,-171.895867
868,-53.812648,-171.716195
869,-58.630030,-172.048250
870,-58.634486,-172.239313
871,-58.671945,-172.426721
872,-58.741275,-172.604816
873,-58.840385,-172.768224
874,-58.966282,-172.912011
875,-59.115166,-173.031837
876,-59.282543,-173.124085
877,-59.463360,-173.185971
878,-59.652160,-173.215626
879,-59.843243,-173.212156
880,-60.030841,-173.175664
881,-60.209292,-173.107254
882,-60.373209,-173.008988
883,-60.517643,-172.883835
884,-60.638236,-172.735571
885,-60.731346,-172.568672
886,-60.794164,-172.388177
887,-60.824793,-172.199532
888,-65.641509,-172.531542
889,-65.679515,-172.350261
890,-65.747398,-172.177926
891,-65.843234,-172.019424
892,-65.964306,-171.879250
893,-66.107181,-171.761376
894,-66.267807,-171.669146
895,-66.441632,-171.605175
896,-66.623726,-171.571276
897,-66.808926,-171.568410
898,-66.991982,-171.596659
899,-67.167703,-171.655222
900,-67.331106,-171.742438
901,-67.477560,-171.855835
902,-67.602911,-171.992196
903,-67.703605,-172.147657
904,-67.776787,-172.317809
905,-67.820383,-172.497828
906,-67.833156,-172.682609
907,-72.656786,-173.015096
908,-72.706526,-172.833278
909,-72.786578,-172.662623
910,-72.894591,-172.508141
911,-73.027392,-172.374368
912,-73.181084,-172.265232
913,-73.351151,-172.183939
914,-73.532601,-172.132875
915,-73.720105,-172.113541
916,-73.908157,-172.126503
917,-74.091235,-172.171381
918,-74.263962,-172.246858
919,-74.421268,-172.350716
920,-74.558531,-172.479907
921,-74.671723,-172.630636
922,-74.757518,-172.798477
923,-74.813398,-172.978502
924,-74.837721,-173.165424
925,-79.675893,-173.498913
926,-79.733258,-173.327386
927,-79.817956,-173.167578
928,-79.927696,-173.023810
929,-80.059511,-172.899967
930,-80.209838,-172.799399
931,-80.374613,-172.724823
932,-80.549380,-172.678257
933,-80.729416,-172.660959
934,-80.909853,-172.673396
935,-81.085813,-172.715233
936,-81.252539,-172.785338
937,-81.405523,-172.881816
938,-81.540630,-173.002059
939,-81.654207,-173.142816
940,-81.743183,-173.300282
941,-81.805153,-173.470199
942,-81.838441,-173.647975
943,-86.698972,-173.983004
944,-86.767888,-173.812467
945,-86.864257,-173.655798
946,-86.985384,-173.517377
947,-87.127883,-173.401074
948,-87.287768,-173.310141
949,-87.460571,-173.247121
950,-87.641459,-173.213776
951,-87.825374,-173.211039
952,-88.007174,-173.238985
953,-88.181775,-173.296833
954,-88.344297,-173.382966
955,-88.490194,-173.494976
956,-88.615388,-173.629731
957,-88.716377,-173.783462
958,-88.790339,-173.951872
959,-88.835204,-174.130252
960,-93.726154,-174.467378
961,-93.807000,-174.298437
962,-93.915333,-174.145659
963,-94.048014,-174.013474
964,-94.201196,-173.905714
965,-94.370439,-173.825502
966,-94.550837,-173.775164
967,-94.737159,-173.756159
968,-94.924005,-173.769038
969,-95.105957,-173.813428
970,-95.277742,-173.888041
971,-95.434379,-173.990716
972,-95.571327,-174.118474
973,-95.684617,-174.267614
974,-95.770964,-174.433810
975,-95.827865,-174.612246
976,-100.757600,-174.952046
977,-100.850789,-174.785370
978,-100.971399,-174.637321
979,-101.115796,-174.512362
980,-101.279628,-174.414258
981,-101.457958,-174.345967
982,-101.645411,-174.309545
983,-101.836338,-174.306091
984,-102.024986,-174.335709
985,-102.205669,-174.397505
986,-102.372942,-174.489619
987,-102.521764,-174.609273
988,-102.647651,-174.752863
989,-102.746807,-174.916060
990,-102.816245,-175.093946
991,-107.793670,-175.437033
992,-107.891155,-175.284480
993,-108.012342,-175.149983
994,-108.153948,-175.037185
995,-108.312138,-174.949141
996,-108.482627,-174.888237
997,-108.660797,-174.856123
998,-108.841821,-174.853667
